Entreprise;Description;Secteur;Pays;Adresse;Téléphone;Email;Site Web;LinkedIn;Effectif;Année création;Chiffre d'affaires;Score;Source
Finance Corp 13 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;538 Rue des Affaires, Yaoundé, Cameroun;+295 341 24 65 30;contact@financecorp13ca.com;https://www.finance-corp-13-ca.com;https://www.linkedin.com/company/finance-corp-13-ca;1-10;2012;236 millions XAF;78%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 9 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;193 Rue des Affaires, Yaoundé, Cameroun;+260 370 50 64 39;contact@financecorp9ca.com;https://www.finance-corp-9-ca.com;https://www.linkedin.com/company/finance-corp-9-ca;1000+;1996;273 millions XAF;77%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 11 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;942 Rue des Affaires, Yaoundé, Cameroun;+209 892 83 35 82;contact@financecorp11ca.com;https://www.finance-corp-11-ca.com;https://www.linkedin.com/company/finance-corp-11-ca;1-10;2012;86 millions XAF;72%;Demo Data - Configurez votre API key pour des données réelles
Société Générale Cameroun;Filiale de Société Générale, services bancaires complets;Finance;Cameroun;557 Rue des Affaires, Yaoundé, Cameroun;+237 222 43 43 43;contact@sgcameroun.com;https://www.société-générale-cam.com;https://www.linkedin.com/company/société-générale-cam;1000+;1996;428 millions XAF;70%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 18 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;705 Rue des Affaires, Yaoundé, Cameroun;+232 815 83 48 95;contact@financecorp18ca.com;https://www.finance-corp-18-ca.com;https://www.linkedin.com/company/finance-corp-18-ca;201-500;2017;409 millions XAF;69%;Demo Data - Configurez votre API key pour des données réelles
Express Union Finance;Microfinance et transfert d'argent national;Finance;Cameroun;835 Rue des Affaires, Yaoundé, Cameroun;+237 222 23 13 13;info@expressunion.cm;https://www.express-union-financ.com;https://www.linkedin.com/company/express-union-financ;500-1000;2013;322 millions XAF;68%;Demo Data - Configurez votre API key pour des données réelles
Afriland First Bank;Banque universelle leader au Cameroun;Finance;Cameroun;111 Rue des Affaires, Yaoundé, Cameroun;+237 222 22 99 99;contact@afrilandfirstbank.com;https://www.afriland-first-bank.com;https://www.linkedin.com/company/afriland-first-bank;201-500;1997;328 millions XAF;64%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 15 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;1 Rue des Affaires, Yaoundé, Cameroun;+260 739 49 30 41;contact@financecorp15ca.com;https://www.finance-corp-15-ca.com;https://www.linkedin.com/company/finance-corp-15-ca;1000+;1992;342 millions XAF;63%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 17 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;513 Rue des Affaires, Yaoundé, Cameroun;+273 916 11 30 58;contact@financecorp17ca.com;https://www.finance-corp-17-ca.com;https://www.linkedin.com/company/finance-corp-17-ca;51-200;2007;430 millions XAF;63%;Demo Data - Configurez votre API key pour des données réelles
Activa Assurances;Compagnie d'assurance vie et non-vie;Finance;Cameroun;180 Rue des Affaires, Yaoundé, Cameroun;+237 222 22 40 40;activa@activa-group.com;https://www.activa-assurances.com;https://www.linkedin.com/company/activa-assurances;11-50;1995;62 millions XAF;62%;Demo Data - Configurez votre API key pour des données réelles
